鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
南港區,房地(土地+建物),臺北市南港區福山街44巷5號,14.14,住,,,2023-05-06,土地3建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,74.14,2,2,1,有,無,19250000,259644,,0.0,0,,RPSNMLRJNHIGFDA97CB,中研首席,A5-10F號,
信義區,房地(土地+建物)+車位,臺北市信義區嘉興街１７５巷１號旁,23.11,住,,,2023-04-22,土地5建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.56,3,2,2,有,無,38990000,287105,坡道平面,32.25,3300000,,RPPNMLSJNHIGFDA77CB,樂揚映白,D-2F號,
信義區,房地(土地+建物)+車位,臺北市信義區嘉興街１７５巷１號旁,16.74,住,,,2023-04-21,土地5建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.31,2,2,1,有,無,33980000,342883,坡道平面,32.25,3100000,,RPQNMLSJNHIGFDA87CB,樂揚映白,C-9F號,
大安區,房地(土地+建物)+車位,臺北市大安區市民大道三段92號,5.54,住,,,2023-04-22,土地7建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,47.94,1,0,1,有,無,15680000,399139,升降機械,15.42,2700000,,RPQNMLSJNHIGFFA08CB,三創爵鼎,D-10F號,
松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段23巷及23巷7弄、9弄口,18.91,住,,,2023-04-17,土地24建物1車位1,五層,22,住宅大樓(11層含以上有電梯),住商用,見其他登記事項,,102.79,2,1,1,有,無,28000000,345703,坡道平面,31.92,3500000,,RPPNMLSJNHIGFDA87DB,揚昇君隆,A2-1-5F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,2023-04-28,土地2建物1車位1,十六層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,184.94,3,2,2,有,無,60900000,371919,坡道平面,29.53,3100000,,RPPNMLSJNHIGFEA87CB,國泰雍萃,A6-16F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,2023-04-24,土地2建物1車位1,十七層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,184.94,3,2,2,有,無,61100000,373206,坡道平面,29.53,3100000,,RPQNMLSJNHIGFEA97CB,國泰雍萃,A6-17F號,
北投區,房地(土地+建物)+車位,臺北市北投區建民里文林北路75巷,29.73,住,,,2023-05-04,土地2建物1車位2,十八層,26,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,214.47,3,2,2,有,無,64400000,374493,坡道平面,59.06,6200000,,RPRNMLSJNHIGFEA08CB,國泰雍萃,A6-18F號,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,36.22,住,,,2023-04-24,土地35建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,250.94,4,2,2,有,無,47600000,207469,坡道平面,34.04,2600000,雨遮面積登記不計價,RPPNMLSJNHIGFBA57CB,萬錦,C棟C3-8F號,
萬華區,房地(土地+建物)+車位,臺北市萬華區民和街１１８號旁,33.61,住,,,2023-04-22,土地35建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.51,4,2,2,有,無,45800000,214771,坡道平面,32.9,2500000,雨遮面積登記不計價,RPQNMLSJNHIGFBA67CB,萬錦,C棟C1-13F號,
